confidence,errors,feedback,success,tests,essayText,score,myscore,correct
0,['Could not extract features and score essay.'],,False,[],"In general, people are living longer now because they are being conscious in their health and physical body. People are taking food supplements to maintain their good health and healthy body. Some of the individuals are enrolling in gym to keep their body fit and healthy. They are conscious in eating the right kinds of foods so that they can prevent from illness or diseases.",0,2,
0,['Could not extract features and score essay.'],,False,[],In general people's are living longer now because these people maintain our health .these people' were go to walk daily.thee people daily do a exercise like yoga etc.these people woks very hard .,0,1,
0,['Could not extract features and score essay.'],,False,[],"In past people did not get all facilities easily such as hospitality, proper education about health but now we get all this things easily . Means in our one call ambulance is ready to pick up the patient. There are many health education centre by whom we came to know about proper diet, excersies such as yogas, zoomba and many other health tips which would help us to maintain our body fit. In past people were not know all that thinks. I think that this is the main reason for the above statemnt that is the ""people living longer now"".",0,2,
0,['Could not extract features and score essay.'],,False,[],"People has more chances of living longer now because of advance technology. We have developed different kinds of medical technologies that can identify different kinds of illnes. Like for example, for the newly born babies, they have new born screening which identify possible illnes or abnormalities of the babies in the future as they grow older. With this kind of technology, it really helped the people to take care of their health conditions and for further prevention of their future illness.",0,2,
0,['Could not extract features and score essay.'],,False,[],"In today's generation, many medicines are invented that cause people to live much longer. There are also health care provider that helps sickness people to check upon and received prescriptions from a physicians. Because of these,though the lifestyle in todays generation are more likely in a fast chain, it will help people to live longer with less stress. Enjoying oneselves is also one cause that people can live longer as it will reduced stress in our body and avoid the sickness that may occur on each body.",0,2,
0,['Could not extract features and score essay.'],,False,[],Hi i am manzoor ahmad i am from ladakh i wish that i belive every local man during best realiship in our socicety i n our ground pacement i and always say the longer phenomenon ii our good time in the socity that clean and right thing in the socitey thanks to my feeling i wish that the i improved the great work ok byeeeee thanx to alll,0,0,
0,['Could not extract features and score essay.'],,False,[],"We have entered 21 st century which is marked by rapid developments and discoveries in medical field along with an emerging holistic approach towards life.Many diseases have been completely irradicated and various vaccines have been introduced.People are more aware of their lifestyles and eating habits.Gyms,Spas,Health clubs and medical insurance are on roll.This indicates the awareness and mindfulness of people towards living better and longer.The average life expectancy at birth has improved immensely compared to decades back.Today we have a cure for most fatal diseases which has striked out a great probability of loss of life.Unlike earlier times,say at the begining of 21 st century and before the medical arenas were not as developed, neither was there good connectivity of roads and communication services.People died in masses in case of a wide spread epidemic.Conditions have gone a sea change since then.Also people have started living life with a healthier and happier approach.Importance of human life is immense.More and more people have come in terms of this fact and there has been a psychological modifications in most people.People today are more conscious of their habits and lifestyles and work willingly to improve their life expectancy.Another factor has been safe and secure housing.When our ancestors resided in forest,they dealt with the constant risk of being attaked by other wild animals.There was an ever continuing competition with other life forms.Only the fittest survived.But the civilization of human has improved the situation and decreased the tussle for life. All the drastic and applausable advancements in medical fields have been a boon for mankind.Besides this,the general awarness amongst people about their lifestyles,safety,health hazards have contributed towards a longer life.",0,5,
0,['Could not extract features and score essay.'],,False,[],"People are living longer is a true statement which is possible ,majorly due to new inventions and breathtaking technology in the health sector.The improvement of the health sector was boosted by the industrial revolution in the 19th centuary.Pharmaceutical companies are earning huge amounts of revenue for the single reason there is cure for almost every disease and ailment.Indian companies such as Sun Pharma have been top earners of revenue in the Indian business scenario.The path breaking eradication of small pox,reduction in the cases of polio attacks by introducing polio drops to children,effective administration of insulin to diabetes,introduction of various vaccines for babies such as protection from various viral diseases,antivenom invention to treat snake bites and various other inventions and improvement in the health sectorhave been an impetus for people to live longer.There have also been an increase of health personnel like doctors,nurses,surgeons etc who are actually trained in various fields such orthopaedist,gynaecology,heart surgeons etc who are provinding quality services to the people Science has further grown not only has health sector been improved but also the supporting sectors have also improved such as infrastructure,transportation, communication and many other sectors which has actually improved the standard of living .People earn more than compared during last 100 years and all services are available to everyone . The lives of the people have become more peaceful,there are no endless wars or any war of mass scale happening .Countries urge for peace and cooperation .The wars were a vital reason in the past when thousands used die on the battlefield and other part of people used to perish in famine or in plagues.The present world is different ,countries help each other during natural disasters or famines or any kind of calamity. These are the reasons for the enhancement of human lives at present.",0,3,
0,['Could not extract features and score essay.'],,False,[],People have hygenic food and physically fit as well having good job.so the people are happy and living longer now.,0,1,
0,['Could not extract features and score essay.'],,False,[],"Now a days people are living longer beacsue of the environment and neature of the people where they are living and mainly type of food what they are having is hygenic and they are living the such ares where there is less of pollution and having frsh air is also one of the big advantage for them to live long. when any people live this kind of environment its keep their helth good always and they need to go to haospitals so they will not take any tablests which can be make side effoect on human body. and daily basis they will be working very hard to get their food and daily needs so this is also one of the best reason to keep them healthy along with their environment and living area. so when they are working daily they will be physically fit and they will avoid the sugar, BP these kind of disease and they will be healthy for long time. when the people have no any other health issue so they will be dafinatly live longer now a days. and the food what they are preparing it will not include any chemical in that so there is no side effect from the food what they are having. vegetable, rice whatever they will be having all the food is growing with their own land with out any chemical. so when people have the food like this there will be less of disease to those people and they will live longer.and if i want to give one more good example for them who live longer now is water. the water what they are drinking is purified and there is no water pollution at all with the water what they are drinking.and all those people now are most loving people they will be keep helping one another and they are so cousious about their helth and safty and they will encourage their kinds and educate them to be live like them so that in future their kids also has to live longer like them. and they will be happy in their life always. when they are good at health and all heart disease also will not be their for them because there is no chlostrol which will cause for heart disease. so these are the resonsand examples for the people are living longer now.",0,4,
