"It's true that in developed and developing countries, the people with well-off power status are living longer. But it's equally true that there are still cases of regions in the world where exploitation of masses by a few people closer to the strong holds of power is continuing. And in such nations, people are not having the increased life span this question is talking about. These are mostly the countries where there is dictatorship. Coming back to those egions where the life expectancy has actually risen in the past decaded, it seems to be a result of several causes. One of them is advancements in medical science. This advancement in medical science has further been facilitated by easy flow of information and knowledge accross the globe through advancements in information and communication technology. This has allowed to bring ideas and practices from even far off locations to learn from each other and advance. Another cause can be better knowledge management skills developed by the scholars of this era. This lets the world leaders realize the importance of structuring their action plans in a way that millitary battles have substantially reduced. For how long, this remains to be seen though. Hopefully for a long time. And all this depends on ability of our world leader to recognize world patterns and proactively act in a way so as to be able to successfully avoid conflicts. This replacement of milltary competetion with economic one has led to less war casualities. This has further been facilitated by nuclear deterents now being possesed by almost all major international powers. At the same time, this economic battle in some cases leads to the exploitation of pwerless masses in countries without democracy, which in turn leads to lesser life expectancy. A paradox apparently! Another reason for longer life expectancy can be - the increased ease of learning new skills. This has been made possible by better connectivity through internet, and efficient transport channels available. Research has proven that the longest living masses were those who were able to gather enough will to learn more and more, who never stopped learning, in every form- actions, reflection of actions, exploration for better options for actions, etc.",6
"It is indeed an encouraging fact that the average longevity, which is directly related to better health of individuals across the globe has strikingly increased over the years. Major contributiors to this are the steps actively taken by governments to reduce infant mortality and pregnancy mortality rates of women, which were leading to death during pregnancy. Several other factors have also contributed to the increased longevity of individuals like better health facilities available to the people, in general at affordable rates, inreased service rates of ambulances leading to lower casualties overall, an almost elimination of some diseases like tuberculosis etc. Also, social media has played a humongous role in informing people about the daily exercises and routines they need to adopt in order to lead a healthy life. Various forums on internet are used to share such information. Also, the rise of health maintenance practices suh as 'Yoga' have served as a major cause among the masees by making them actively engage in taking good care of their own selves. Various other campaigns for breast cancer, uteral cancer etc. have enabled women to be informed about such diseases and has helped several women to diagnose such diseases in early stages. Companies today also employ annual health check-up policies which help the employees take good care of their own. One intangible aspect that has resulted intoincreased longevity is the rise in income levels of people, in general. Not only has medical assistance become more affordable, it has also led to better retirement planning by individuals which has enabled them to live satisfactorily even post retirement, with sufficient amount of funds to sustain and lead a healthy life. Thus, steps actively taken by the governments along with rising awareness regarding health and diseases by various media has helped people lead healthy lives.",6
"In 2015, it is common to hear a story on the news of a person living well past 100 years. These used to be extreme cases many years ago, but they have become regular occurrences. There are several contributing factors to this phenomenon, including technological advancements, increased awareness, and increased access to resources. Technology is a major contrinbuting factor to people living longer lives. The advancements in medicine is quite astonishing compared to 100 years ago. Physicians have many resources at their fingertips to help diagnose and treat patients suffering from a variety of medical conditions. Whether it be a chronic condition such as diabetes or a more serious condition such as cancer, there are more treatments available that help heal people quicker and help them manage normal lives. Additionally, medicine to help maintain chronic conditions have become very affordable for people to purchase. Lastly, there is a much larger focus on preventative care and medicine to help diagnose issues early on so that physicians can treat these conditions earlier. Patients are strongly encouraged to participate in preventative screenings to identify any issues and move forward with treatment if necessary to help them live a longer and healthier life. In addition to technology being a driving force behind people living longer, people also have more awareness and access to resources to better their life. There are television networks, magazines, websites, and even mobile apps dedicated to living a healthier life. These resources showcase healthy lifestyle tips including exercise plans, meal plans, and even healthy sleep habits. With all of this information at people's fingertips, it is easy for them to learn what they need to do to maintain a healthy lifestyle and live longer. With access to all of these resources, people are living longer, healthier lives.",6
"At the present world,people tend to live longer it is beacuse of the precautions and the basic facilities available at the present world economy.The new medical facilities have ensured that people would be prevented from diseases being evolved due to the pollution and unhygenic society.New medical facilities such as vaccines,poliyo drops,cancer prevention tablets,pre-injection for diseases have be included in day-to-day peoples life.These vaccines and pre-injections should be manditorly taken atleast once in two months in order to prevent the forth coming illness.The economy has been highered where most of the people are well educated and well settled,they tend to have all the facilities in order to stay healthy and strong enough to face anything and anywhere.the food what we get now are not much hygenic,people get attacked beacause of letting them go to have road side foods and soon thet get affected.Once they are attacked with some disease they fall a sick and they move to the best doctors in town and get themselves checked and get injected and are prevented. Due to the best hospitality facilities,people are being cured easily because we have got the best doctors all over the world,who has undergone differnt researches in finding out the best medicines inorder for the better curing of the diseases.The cancer is being very common and is being evolved very easily even to the small kids and teenagers.the prevention to these cancer diseases have created a revolution and it is easy go process or operation being performed to cure the cancer out of oneselves.The best medicines have be found for curing of cancer diseases in the abroad countries.It is manditory that the new born kids are given vaccines once in two months or once in six months in order to the kid to stay healty and longer and disease free.Thus only by taking up these vaccinies and poliyo drops dosent mean one can stay healthy and happy,it does matters oh how he brings himself out being happy and stressless.the more he/she is stressed up the more the amount he/she is goin to be affected.Thus a person who remains happy and healthy and concious of what happening to their health and those who take much more care about themselves live longer and happier.",5
"United Nation developed a concept of quantifying Human Development Index using three basic parameters, average life expectancy being one of them. Development of any nation does not only depends on per capita income but actually on standard of living of its residents and this has formed the basis of development of HDI. An average increase in life expectancy years can be seen through records and there have been multiple changes in the society which support this increase. 1. Recent researches show that population below poverty line in India has been reduced to about 12% only which was more than 30% some decades ago. Spending power has increased and hence people utilise this increase in resources to maintain their well-being. 2. Globalisation has allowed MNC's to setup their offices across borders & as per international policies, companies also provide health cover to employees and their family members. This is also an important factor as formal systems have been established which make accessiblity to medical services easier. 3. Government has also taken commendable steps to improve the situation. Government Dispenceries have been opened on large scale which provide better health facilities to poor at affordable costs in just a few kilometers reach. 4. Government also provides health services to its employees as well. Large number of families across India get direct benefit from such policies which eventually increase in nhigher life expactancy. 5. Better educational standards have created better doctors and better researches have generated better medicines to cure dreadful diseases like cancer. Initially there was a huge problem of access to good doctors & medicines. 6. Reach of media through every form has increased exponentially in past decades. This eventually means that now awareness programs reach more people and more people use this knowledge to take care of their health.",5
"TODAYS ERA IS THE ERA OF TECHNOLOGICAL ADVANCEMENTS. IN EARLIER DAYS DUE TO LACK OF TECHNOLOGY THERE WERE NOT MANY DEVELOPMENTS IN THE FIELD OF HEALTH CARE AND MEDICINES. BUT WITH THE DEVELOPMENTS IN FIELD OF SCIENCE AND MORE TECHNOLOGICAL ADVANCEMENTS MORE AND MORE MEDICINES, TREATMENTS RELATED TO VARIOUS DISEASES, EQUIPMENTS AND MACHINES NEEDED FOR THE THESE TREATMENTS HAVE CAME INTO SCENE. NOWADAYS THE HOSPITALS, BE IT BE PUBLIC, PRIVATE OR GOVERNMENTAL, ARE WELL EQUIPED WITH THESE MACHINES. ALSO DUE TO ADVANCEMENTS IN THE FIELD OF SCIENCE AND TECHNOLOGY EDUCATION SYSTEM HAS IMPROVED TO A GREATER EXTEND PRODUCING MORE EFFICIENT DOCTORS AND OTHER PERSONNELS RELATED TO THE FIELD OF HEALTHCARE AND MEDICINES. ALSO MEDICINES LIKE THE GENERIC MEDICINES (MEDICINES IN THE THEIR GENERIC CORE FORM) HAS COME INTO ROLE. THE COST OF THESE GENERIC MEDICINES ARE QUITE LOW THAN THE MEDICINES SOLD IN THE MARKET. MOREOVER THE GOVERNMENT HASE BECOME SENSITIVE TOWARDS THE ISSUE OF HEALTHCARE, AS THE DISEASES ARE INCREASING DAY BY DAY AND NEW DISEASES ARE COMING INTO PREVELANCE. FOR QUALITY MEDICAL EDUCATION MANY WELL REPUTED MEDICAL COLLEGES ARE BEING OPENED THROUGHOUT THE GLOBE. ALSO FOR PROVIDING QUALITY TREATMENT TO THE PATIENTS MANY EFFICIENT HOSPITALS AND HEALTHCARE CENTRES ARE BEING BROUGHT INTO RUNNING STAGE. EVEN PEOPLE THEMSELVES ARE CONTRIBUTING TOWARDS THE VERY PHENOMENON. WITH THE ADVANCEMENTS PEOPLE HAVE BECOME SENSITIVE TOWARDS THEIR HEALTH AND TAKE CARE OF THEIR HEALTH. EARLIER PEOPLE IGNORED THE SYMPTOMS THAT THEY GOT TO SEE AND DID NOT TAKE TREATMENT FOR THE RESPECTIVE DISEASE ON TIME. BUT NOW DUE THE ADVANCED FACILITIES AVAILABLE IN THE FIELD OF HEALTHCARE AND MEDICINES AND BETTER LIVING STANDARDS, THEY APPROACH TO THE DOCTORS, HOASPITALS AND CLINICS AS SOON AS POSSIBLE. HENCE THESE REASONS HAVE CONTRIBUTED TOWARDS THE PHENOMENA "" PEOPLE ARE LIVING LONGER NOW.""",5
"""In general people are living longer now"" is a very true fact. Living longer has been made possible largely due to the advancement of technology, awareness among people, better infrastructure being provided by the governments , ease of accessibility to medi-care , increasing awareness and campaigns on health and hygiene. The reasons stated above are the broad reasons catering to increasing life span of people of all economies - developed , developing and also underdeveloped. The developed economies of the world are already advance and aware and are continuosly working for the betterment of the its citizens. Firstly , it has been made possible due to the large amount of funds available at the disposal of such developed economies. In collaboration with huge resources and efficient governance , the developed economies are continuosly investing in research programs. With the advancement in techonology and of medical science various vaccines have been produced which have been successfull in eradicating deadly dieases like small pox from all over the globe. Further , with the unrelenting efforts of the UN organisation - WHO these vaccines have been made available even to the remote areas so that the dieases can be successfully eradicated. Secondly , as compared to earlier times , people have become more aware about their well-being and so they too take initiative in maintaining their health. Thirdly , governments are now taking adequate steps to provide better sanitation facilities to the people which has helped in preventing people from contracting dieses like malaria , diarreohea , typhoid , fever etc. The Swatch Bharat Abhiyaan initiated by the Modi government is in furtherance of this cause. There are many other reasons which have led to increase in the life span of people and government's efforts in this cause can not be over shadowed.",5
"With the fast paced growth of technology in the recent years, there has been a hand in hand increase in innovations. These new discoveries or innovations have taken place in many industries, of which the health and pharmaceutical industries has seen a high level of growth. With this fast paced growth and innovation, the world has seen the discoveriy of new drugs and medical discoveries to cure the many diseaseas that had once redered us helpless in the past. There has also been an increased interest in health and wellness programs in the recent years. Individuals of all ages have begun to place increased importance in their personal health and wellness. A rise in awareness and interest has been seen in the recent years, in health and wellness programs such as yoga, ayurveda, accupuncture and various meditation programs, as seen in the recent celebration of world yoga day. Organisations also promote health and wellness through provisions of various benefits and workshops such as medical allowance, insurance, etc. Organisations have also been seen to recognise the importance of mental health in the recent years.They have begun to introduce counsellors, trained coaches, employee assistance programs, etc to help assist their employees needs in a holistic manner. Through these various programs hosted and other benefits offered to individuals by various insititutions to promote health and wellness right from the educational level and continues even after retirement. Gone are the days when employees were used for their services and rewarded only with monetary benefits. Hence people are seen to live longer now since, more focus has been given to them as humans rather than machines. The human aspect is being given more importance and organisations are using this human aspect as an essential resource tied to their success.",5
"REASONS FOR INCREASE IN LIFE EXPECTANCY: INTRODUCTION: It can be very well inferred from the census that the average life expectancy of people has drastically increased. It has become common to see people with age more than 80 years. Lets discuss some of the major reasons for this improvement. GOOD MEDICAL FACILITIES: The field of medical science has shown a major revolution. Nowadays there are medicines for almost all the diseases. For the diseases that cannot be cured using medicines, there are several surgical methods. Medical Engineering helps in the manufacture of precise surgical equipments. In some surgeries, robots that make use of artificial intelligence has proved to work successfully with greater accuracy in operation than human surgeons. OTHER REASONS: Apart from good medical facilities, there are few other reasons that play a major role in improving the life expectancy of human beings. (i) Food: Earlier days people used to eat food directly from the sources like plants or animals. Nowadays food is processed before consumption. Milk is pasteurized to remove bacteria. Sugar and salt are purified to get clear crystals. Likewise all the food items and water are properly purified to make it free of micro organisms like virus or bacteria. (ii) Neat and clean environment: The environment that we live in is sanitized well by the government. The government also takes efforts to reduce the mosquitoes by spraying chemicals and closing the drainages. Mosquitoes are parasites that are mainly responsible for several diseases like Malaria, Dengue, Cholera, Typhoid, some of which are deadly. CONCLUSION: Thus it can be inferred that the life expectancy of people could be increased day by day with development in technology and cooperation of people in making the environment a cleaner and safer place to live in.",5
"'In general, people are living longer now', this phrase directly implises that the average age of the people now has increased. The statistics and the government recods supports this fact. the average age, life expectancy etc. has increased considrably. This is a result of the ever developing medical science and public awareness of the different health hazards. In the past few years, medical science has developed exponentially. New cures and medications are being invented everyday. Dieseases which were considered incureable are now being cured even at every local dispensery. Diseases like Polio, Hepietitus A, Hepetitus B etc. are now being cured by giving vaccinations and medications to young infants and children so that there is no chance in the future for any mishappening. Even chronic diseases like Cancer, AIDS, TB etc. are being cured at some level to save millions of life. In old days the medicals science was not that developed, people died of dmall diseases because they did not received proper medical attention.Hospitals were far and few, doctors were not available readily. This led to millions of deaths at young ages. The other reasons behind the increased life of people now a days is the public awareness and proper diet taken by people. People are now aware of many health hazards, they visit docotrs regularly and try keep their bodies healty by various exercises, yoga, meditation etc. Children get proper nutritional diets which helps their growth and development. But on the other hand, the phrase also has a contradictory nature, people now a days are indulged more in unhealthy lifestyles. Smoking, alcohal, junk food has become a part of life which is leading to various life threatemimg diseases like cancer, dibeties, obesity etc. This unhealty lifestyle is adding to the deaths of millions.",5
